DATAFLOW,LAST UPDATE,freq,mot_nrg,vehicle,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Austria,2013,15,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Austria,2014,1,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Austria,2015,12,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Austria,2016,22,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Austria,2017,6,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Austria,2018,17,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Austria,2019,22,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Austria,2020,14,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Austria,2021,11,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Austria,2022,26,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Austria,2023,58,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Belgium,2013,0,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Belgium,2014,3,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Belgium,2015,0,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Belgium,2016,0,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Belgium,2017,0,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Belgium,2018,14,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Belgium,2019,37,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Belgium,2020,12,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Belgium,2021,29,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Belgium,2022,42,
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Belgium,2023,175,s
ESTAT:ROAD_EQR_ZEV(1.0),19/12/24 23:00:00,Annual,Electricity,"Buses, motor coaches, and trolley buses",Number,Bulgaria,2013,20,
