GEO (Labels),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belgium,1,0,0,0,0,4,2,1,2,1
Bulgaria,0,0,0,0,0,0,0,0,0,1
Czechia,0,0,0,0,0,0,2,9,3,16
Denmark,1,14,14,15,6,8,45,75,6,1
Germany,3,72,49,122,154,210,311,466,836,267
Estonia,0,0,0,0,0,0,0,1,1,1
Ireland,0,0,1,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0
Spain,0,0,0,0,1,1,7,9,4,8
France,1,10,9,57,36,63,211,61,193,306
Croatia,0,0,0,0,0,0,0,0,0,0
Italy,10,1,0,0,1,17,7,10,11,2
Cyprus,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,1,2,0
Hungary,0,0,0,0,0,0,0,1,1,0
Malta,0,0,0,0,0,0,0,0,0,0
Netherlands,2,19,7,6,13,156,147,122,89,39
Austria,3,9,5,0,7,19,14,14,14,10
Poland,0,0,0,0,0,0,0,74,41,83
Portugal,0,0,0,0,0,0,0,3,0,0
Romania,0,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,2,1,1
Finland,0,0,0,0,0,0,0,1,0,0
Sweden,0,1,19,14,5,2,5,16,2,2
